Unnamed: 0,id,name,cb_description,assigned_industry
0,1820,0xKYC,modular knowledge system identity credential management reimagine create knowledge proof zkps prove ofac sanction know fraud wallet list,Web3
1,1536,100ms,live video infrastructure platform provide subscription base product customer company provide low code solution company look add video audio conferencing application bring real life interaction virtual world seamlessly increasingly virtual remote world need infrastructure provider allow experience happen seamlessly good class quality ease use fuel revolution make live video work team obsess problem solve world class scale different nerk device condition great infrastructure provider need short integration time foundation build principle,DeFi
2,3640,10X-Genomics,create revolutionary dna sequence technology help researcher well identify subtle variation overlook technology shre biological sample tiny fragment sequence short stretch computer assemble genome,Genomics
3,9594,111Skin,commit positive luxury skincare push boundary technological change establish sustainable philanthropic female lead future skincare addition source ethical material cut edge ingredient,Beauty
4,4697,1715Labs,company establish commercialise zooniverse technology,Longevity
5,473,1stdibs,internet company offer marketplace rare desirable object furniture fashion fine art jewelry feature online base platform connect respected dealer maker sophisticated collector share pursuit beautiful design,Creator Economy
6,7956,1v1Me,application allow user play match favorite video game cash community meet play member company found base,Creator Economy
7,9457,21sportsgroup,online sport good retailer offer selection running shoe bicycle apparel accessory amateur athlete runner cyclist triathlete right professional athlete market range sporting good mainly area outdoor action run cycling triathlon sport combine e commerce retail business reduce gap online offline retail service product company available immediate shipping found base wurttemberg,Longevity
8,4477,23andMe,human genome research company enable user study ancestry genealogy inherit trait startup co found wife co founder plan human genome searchable give series company name number chromosome pair human aim help people understand gene mean indexing highlight significant finding allow client user study ancestry genealogy inherit trait company market researcher scientist provide neatly categorize easily searchable data reason investment sense company enable search giant index facet world information industry grow rapidly help maintain market hold multi dollar area,Genomics
9,917,24Symbols,solution read digital book read device internet connection allow read read device internet conection ereader smartphone laptop,IoT
10,5470,2GIS,international technology company develop service comfortable life city mission help people live city expensive company internet accord forbes main product company city information service bring map navigator business directory active user service cover city country available free mobile application io,Connected Life
11,5958,352-Medical-Group,local organisation trust healthcare professional clinic hospital provide excellence choice diagnosis education treatment health need mission world class provider healthcare solution put patient forefront aim preferred choice patient healthcare professional,MedTech
12,4004,365-Response,response unique software service organisation different create solution directly respond specific challenge collaborate client multiple sector understand detailed requirement identify gap accordingly implement solution response team unique combination fast pace innovative approach establish system unparalleled industry experience proud solution help client achieve improved service level significant cost saving,Blockchain
13,5635,365Scores,cross platform application enable user create personalized sport channel individual live score news form media channel video highlight statistic fixture standing tweet major sport platform available language,Creator Economy
14,4797,3Box,storage simple secure private design store data user lighter trustworthy enjoy reduce datum management liability,Data Storage
15,9201,3DLOOK,global leader ai mobile body measure fit solution solution enable innovative personalized shopping experience base consumer unique body profile drive conversion engagement reduce return body datum analytic give brand actionable insight retarget shopper base actual accurate body shape measurement data optimize design product development inventory planning distribution create sustainable business model mission help people easily solve everyday routine task body data different way application recognize pioneer world winner lvmh innovation award name emerge company disrupt traditional retail body scan technology,Longevity
16,8364,3D-Robotics,make advanced drone technology easily accessible construction mining surveying industry use datum analysis help user land mapping site scan service collect accurate aerial datum turn urn drone photo map model point cloud provide comprehensive onboarde ongoing support enable client batter informed decision relate construction site found headquarter,Genomics
17,6651,3scale,make easy open secure distribute control monetize s powerful secure web scalable management platform build performance customer control excellent time value mind power customer s enable distribution company datum content service multiple device mobile web application make easy productize s solution give provider power ease flexibility cost effective way customer span government academia startup include johnson controls sita power strategy practice conference open source search engine unlock power s feature include access control security policy management set tier rate limit automatic provision pricing rule etc traffic monitor analytic portal billing payment management braintree work separate program cloud management layer traffic management component premise cloud cdn work layer allow powerful traffic control position need architecture centralized interface management result traffic control manage single location have flow s deliver multiple channel result low latency increase control privacy low vulnerability great cost effectiveness office information visit,Generative AI
18,3918,3sun-Group,limited subsidiary provide hydraulic control instrumentation product service oil gas sector worldwide furthermore offer skilled technician installation servicing wind turbine offshore application onsite testing inspection service oil gas renewable asset technical vocational training service europe limit found base great yarmouth,InsurTech
19,1767,40-Partners-Ltd,produce talent broadcaster brand short form feature length studio go bit different hopefully game changer talent stay touch course,Creator Economy
20,1351,42Lab,modular portable affordable biotech laboratory student mathematic stem education require country school struggle introduce biotechnology student high equipment cost troublesome experiment preparation solve problem provide portable modular biotech equipment student conduct experiment companion app serve electronic manual student management tool teacher vision bring biotech experience student like pi computer science,Longevity
21,8307,4-Antibody-AG,develop human antibody drug discovery platform generate antibody therapeutic focus immuno oncology technology platform design generate therapeutic antibody drug candidate incorporate human antibody library express mammalian b lineage lymphocyte company develop preclinical checkpoint antibody program target gitr found base,Genomics
22,8780,4energy,locate nottingham produce cool solution deliver energy saving traditional cool product datum centre telecom industry,IoT
23,6524,5Mins,s gamified learn platform design help employee improve skill curate short form video content lead creator world make available team business adaptive gamifie learn engine,EdTech
24,1199,77-Foods,develop vegetable edible fat ambition offer different type vegetable meat,Food & Beverage
25,1504,7bridges,smart logistic platform deliver visibility control logistic process unify data operation enable access global supplier ecosystem world class sustainable logistic operation rapidly achievable reality platform realize future proof sustainable logistic scalable competitive profit growth drive edge,Blockchain
26,4084,7digital,global leader end end digital music solution core business provision robust scalable technical infrastructure extensive global music right create music streaming radio service diverse range customer include consumer brand mobile carrier broadcaster automotive system record label retailer offer radio production music curation service editorial strategy content management expertise,Creator Economy
27,432,7TM-Pharma,biotech company discover develop drug primary therapeutic focus diabetes gastrointestinal metabolic asthma vascular disease company offer transmembrane span receptor include small molecule receptor antagonist selective agonist gastrointestinal disorder short bowel syndrome antagonist oral drug inflammatory respiratory disease found base lyngby hovedstaden,Longevity
28,3403,8fit,app help build healthy habit life simple solution support user worldwide individual journey healthier happy life push progress perfection choose good solution quick fix enjoy journey healthiest mind body understand obstacle people face fitness journey not easy s size fit way find lifelong health s building engage approachable way people achieve personal fitness goal,EdTech
29,28,8tracks-Radio,internet radio social network streams user curate song playlist contain track handcraft internet radio network social alternative tune online mixtape track curate people know love music stream legal radio style manner,Creator Economy
30,10207,8vdX,marketplace founder friendly acceleration capital found headquarter,Retail
31,999,9fin,use artificial intelligence automatically extract key information bond loan documentation make datum easy search filter analyse help fix income professional well smart decision predictive analytic help forecast key capital market event high degree accuracy record include default rating change refinance recapitalisation transaction analytic real time news comprehensive financial datum firm win new mandate allow fund spot trading opportunity credit risk enable sponsor extract maximum value portfolio world lead bank hedge fund asset manager back lead vc fund fintech accept residency program program accelerator run member manage,DeFi
32,8509,a55,developer financial underwriting platform offer revenue back credit line system company recur revenue platform underwrite small medium sized enterprise technology platform connect bank account escrow solution billing payment mean credit intelligence enable borrower credit monitor dashboard insight section revenue cost metric integrate cash flow covenant management system lender monitor platform feed real time transactional datum company found headquarter,DeFi
33,1382,AarogyaAI,aarogyaai artificial intelligence base software service diagnose drug resistant tuberculosis aarogyaai use dna sequence patient upload machine learn algorithm give output report comprehensive drug susceptibility status patient,Longevity
34,6718,Aarohi-communication,aarohi develop generation storage component processor system supplier,Industrial IoT
35,5266,Abacum,abacum saas help finance team deliver business insight abacum collaborative workflow planning platform finance team boost productivity strategic impact company believe empower people good collaborative tool multiply strategic impact organization fulfil,DeFi
36,258,Abacus.AI,artificial intelligence research cloud service company help organization design train operationalize machine deep learning model allow organization plug play deep learning system exist customer experience business process company found base,Generative AI
37,3853,Abacus-e-Media,abacus e medium bring digital expertise industry specialist creative thinking design build website work believe develop technical solution forge commercial objective business brand strategy produce interactive engage user experience,EdTech
38,6113,ABA-English,lead learn student worldwide headquarter talented team compose professional country stand unique methodology combine technology pedagogy interaction real teacher mission guide student learn journey empower effective tool achieve goal quickly efficiently recognize good educational app award feature educational app,EdTech
39,5024,ABAKA-Holdings,world digital save retirement enterprise saas platform power artificial intelligence innovative technology enable financial institution power digital saving retirement solution deliver scalable affordable advice pension saving investment retail customer s library modular application help enterprise client power conversational ai personalise behavioural nudge big data insight financial dashboard outstanding customer experience people access technology client technology license tier international bank pension provider asset manager multiple country s enterprise solution enable financial institution power pension saving investment fully digital hybrid advice proprietary model vast quantity user behavioural financial datum intelligently manage human like conversation machine learning model identify persona segmentation power personalise insight nudge increase engagement sell opportunity digital channel financial dashboard data aggregation technology power retirement planning cash flow model suitability assessment simulation outcome scenario drive advice,DeFi
40,10663,ABAX,developer supplier tracker system software technology business operate company vehicle product world lead respective field help numerous customer reduce overall fuel spend company vehicle eliminate risk tax penalty,Platforms
41,4034,Abbey-Pharma,found manufacture distribute sell prescription counter product,Food & Beverage
42,6511,Abcodia,biotechnology company focus discovery validation biomarker cancer screen unique longitudinal serum biobank partnership technology platform provider lead commercial diagnostic company able support end end diagnostic development process found base uk,Genomics
43,2,Abe's-Market,online marketplace give natural product entrepreneur platform showcase product tell unique story,Social Networks
44,9786,Abhi,abhi financial wellness platform provide employee salary advance base accrue wage abhi salary advance app plan change game people spend money allow user withdraw portion accrue salary bank account help employer reduce workload hr finance department facilitate employee need abhi found base,InsurTech
45,4155,Abiquo-Group,abiquo original pioneer cloud compute early start man year engineering effort allow build broadest deep hybrid cloud management software solution available market today design ground strategic solution meet need customer unlike solution abiquo specifically architecte hardware hypervisor independent start tremendous advantage today hybrid cloud environment timeline abiquo cloud management software support multiple infrastructure type version grow manage hybrid cloud environment premise hypervisor container public cloud,Blockchain
46,3255,ABK-Biomedical,combine clinical market biomaterial specialize improve treatment option patient hypervascular tumor company dedicated transform interventional radiology procedure call embolization,Genomics
47,5750,Ablynx,ablynx biopharmaceutical company engage discovery development nanobodie novel class therapeutic protein base single domain antibody fragment range human disease include inflammation haematology oncology pulmonary disease approximately project pipeline nanobodie clinical development,Longevity
48,3527,Abogen-Biosciences,abogen bioscience discovery stage biotechnology company focus develop nucleic acid base dna therapeutic treatment cancer infectious disease,BioTech
49,7990,Abokado,own operate chain food bar restaurant offer sushi wraps breakfast juice smoothie drink cake fruit salad soup stir fry food supply lunch company wife found headquarters,Retail
